PING 10.0.0.13 (10.0.0.13) 56(84) bytes of data.
64 bytes from 10.0.0.13: icmp_seq=1 ttl=64 time=116 ms
64 bytes from 10.0.0.13: icmp_seq=2 ttl=64 time=121 ms
64 bytes from 10.0.0.13: icmp_seq=3 ttl=64 time=110 ms
64 bytes from 10.0.0.13: icmp_seq=4 ttl=64 time=111 ms
64 bytes from 10.0.0.13: icmp_seq=5 ttl=64 time=101 ms
64 bytes from 10.0.0.13: icmp_seq=6 ttl=64 time=362 ms
64 bytes from 10.0.0.13: icmp_seq=7 ttl=64 time=262 ms
64 bytes from 10.0.0.13: icmp_seq=8 ttl=64 time=115 ms
64 bytes from 10.0.0.13: icmp_seq=9 ttl=64 time=124 ms
64 bytes from 10.0.0.13: icmp_seq=10 ttl=64 time=119 ms
64 bytes from 10.0.0.13: icmp_seq=11 ttl=64 time=152 ms
64 bytes from 10.0.0.13: icmp_seq=12 ttl=64 time=121 ms
64 bytes from 10.0.0.13: icmp_seq=13 ttl=64 time=101 ms
64 bytes from 10.0.0.13: icmp_seq=14 ttl=64 time=156 ms
64 bytes from 10.0.0.13: icmp_seq=15 ttl=64 time=107 ms
64 bytes from 10.0.0.13: icmp_seq=16 ttl=64 time=135 ms
64 bytes from 10.0.0.13: icmp_seq=17 ttl=64 time=252 ms
64 bytes from 10.0.0.13: icmp_seq=18 ttl=64 time=137 ms
64 bytes from 10.0.0.13: icmp_seq=19 ttl=64 time=255 ms
64 bytes from 10.0.0.13: icmp_seq=20 ttl=64 time=124 ms
64 bytes from 10.0.0.13: icmp_seq=21 ttl=64 time=107 ms
64 bytes from 10.0.0.13: icmp_seq=22 ttl=64 time=131 ms
64 bytes from 10.0.0.13: icmp_seq=23 ttl=64 time=186 ms
64 bytes from 10.0.0.13: icmp_seq=24 ttl=64 time=108 ms
64 bytes from 10.0.0.13: icmp_seq=25 ttl=64 time=272 ms
64 bytes from 10.0.0.13: icmp_seq=26 ttl=64 time=156 ms
64 bytes from 10.0.0.13: icmp_seq=27 ttl=64 time=105 ms
64 bytes from 10.0.0.13: icmp_seq=28 ttl=64 time=124 ms
64 bytes from 10.0.0.13: icmp_seq=29 ttl=64 time=133 ms
64 bytes from 10.0.0.13: icmp_seq=30 ttl=64 time=120 ms
64 bytes from 10.0.0.13: icmp_seq=31 ttl=64 time=198 ms
64 bytes from 10.0.0.13: icmp_seq=32 ttl=64 time=308 ms
64 bytes from 10.0.0.13: icmp_seq=33 ttl=64 time=137 ms
64 bytes from 10.0.0.13: icmp_seq=34 ttl=64 time=146 ms
64 bytes from 10.0.0.13: icmp_seq=35 ttl=64 time=126 ms
64 bytes from 10.0.0.13: icmp_seq=36 ttl=64 time=276 ms
64 bytes from 10.0.0.13: icmp_seq=37 ttl=64 time=148 ms
64 bytes from 10.0.0.13: icmp_seq=38 ttl=64 time=103 ms
64 bytes from 10.0.0.13: icmp_seq=39 ttl=64 time=402 ms
64 bytes from 10.0.0.13: icmp_seq=40 ttl=64 time=141 ms
64 bytes from 10.0.0.13: icmp_seq=41 ttl=64 time=176 ms
64 bytes from 10.0.0.13: icmp_seq=42 ttl=64 time=185 ms
64 bytes from 10.0.0.13: icmp_seq=43 ttl=64 time=302 ms
64 bytes from 10.0.0.13: icmp_seq=44 ttl=64 time=173 ms
64 bytes from 10.0.0.13: icmp_seq=45 ttl=64 time=106 ms
64 bytes from 10.0.0.13: icmp_seq=46 ttl=64 time=233 ms
64 bytes from 10.0.0.13: icmp_seq=47 ttl=64 time=316 ms
64 bytes from 10.0.0.13: icmp_seq=48 ttl=64 time=116 ms
64 bytes from 10.0.0.13: icmp_seq=49 ttl=64 time=153 ms
64 bytes from 10.0.0.13: icmp_seq=50 ttl=64 time=118 ms
64 bytes from 10.0.0.13: icmp_seq=51 ttl=64 time=140 ms
64 bytes from 10.0.0.13: icmp_seq=52 ttl=64 time=149 ms
64 bytes from 10.0.0.13: icmp_seq=53 ttl=64 time=101 ms
64 bytes from 10.0.0.13: icmp_seq=54 ttl=64 time=148 ms
64 bytes from 10.0.0.13: icmp_seq=55 ttl=64 time=110 ms
64 bytes from 10.0.0.13: icmp_seq=56 ttl=64 time=114 ms
64 bytes from 10.0.0.13: icmp_seq=57 ttl=64 time=132 ms
64 bytes from 10.0.0.13: icmp_seq=58 ttl=64 time=107 ms
64 bytes from 10.0.0.13: icmp_seq=59 ttl=64 time=215 ms
64 bytes from 10.0.0.13: icmp_seq=60 ttl=64 time=160 ms
64 bytes from 10.0.0.13: icmp_seq=61 ttl=64 time=115 ms
64 bytes from 10.0.0.13: icmp_seq=62 ttl=64 time=135 ms
64 bytes from 10.0.0.13: icmp_seq=63 ttl=64 time=161 ms
64 bytes from 10.0.0.13: icmp_seq=64 ttl=64 time=327 ms
64 bytes from 10.0.0.13: icmp_seq=65 ttl=64 time=221 ms
64 bytes from 10.0.0.13: icmp_seq=66 ttl=64 time=106 ms
64 bytes from 10.0.0.13: icmp_seq=67 ttl=64 time=143 ms
64 bytes from 10.0.0.13: icmp_seq=68 ttl=64 time=178 ms
64 bytes from 10.0.0.13: icmp_seq=69 ttl=64 time=254 ms
64 bytes from 10.0.0.13: icmp_seq=70 ttl=64 time=220 ms
64 bytes from 10.0.0.13: icmp_seq=71 ttl=64 time=179 ms
64 bytes from 10.0.0.13: icmp_seq=72 ttl=64 time=114 ms
64 bytes from 10.0.0.13: icmp_seq=73 ttl=64 time=281 ms
64 bytes from 10.0.0.13: icmp_seq=74 ttl=64 time=122 ms
64 bytes from 10.0.0.13: icmp_seq=75 ttl=64 time=244 ms
64 bytes from 10.0.0.13: icmp_seq=76 ttl=64 time=124 ms
64 bytes from 10.0.0.13: icmp_seq=77 ttl=64 time=113 ms
64 bytes from 10.0.0.13: icmp_seq=78 ttl=64 time=115 ms
64 bytes from 10.0.0.13: icmp_seq=79 ttl=64 time=147 ms
64 bytes from 10.0.0.13: icmp_seq=80 ttl=64 time=188 ms
64 bytes from 10.0.0.13: icmp_seq=81 ttl=64 time=129 ms
64 bytes from 10.0.0.13: icmp_seq=82 ttl=64 time=253 ms
64 bytes from 10.0.0.13: icmp_seq=83 ttl=64 time=104 ms
64 bytes from 10.0.0.13: icmp_seq=84 ttl=64 time=219 ms
64 bytes from 10.0.0.13: icmp_seq=85 ttl=64 time=187 ms
64 bytes from 10.0.0.13: icmp_seq=86 ttl=64 time=188 ms
64 bytes from 10.0.0.13: icmp_seq=87 ttl=64 time=320 ms
64 bytes from 10.0.0.13: icmp_seq=88 ttl=64 time=107 ms
64 bytes from 10.0.0.13: icmp_seq=89 ttl=64 time=112 ms
64 bytes from 10.0.0.13: icmp_seq=90 ttl=64 time=107 ms
64 bytes from 10.0.0.13: icmp_seq=91 ttl=64 time=158 ms
64 bytes from 10.0.0.13: icmp_seq=92 ttl=64 time=135 ms
64 bytes from 10.0.0.13: icmp_seq=93 ttl=64 time=192 ms
64 bytes from 10.0.0.13: icmp_seq=94 ttl=64 time=103 ms
64 bytes from 10.0.0.13: icmp_seq=95 ttl=64 time=119 ms
64 bytes from 10.0.0.13: icmp_seq=96 ttl=64 time=116 ms
64 bytes from 10.0.0.13: icmp_seq=97 ttl=64 time=147 ms
64 bytes from 10.0.0.13: icmp_seq=98 ttl=64 time=128 ms
64 bytes from 10.0.0.13: icmp_seq=99 ttl=64 time=120 ms
64 bytes from 10.0.0.13: icmp_seq=100 ttl=64 time=137 ms

--- 10.0.0.13 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 26730ms
rtt min/avg/max/mdev = 100.608/163.281/401.801/66.366 ms, pipe 2
